10.28,"B.1.1 Reproductive, Maternal, New-born and Child Health",57.64,B.1.2 Infectious Diseases,66.87,B.1.3 Non-communicable Diseases and Mental Health,32.11,B.1.4 Injuries and Violence,32.61,B.1.5 Universal Health Coverage and Health Systems,88.18,B.1.6 Health Risk,86.9,B.2.1 Animal Epidemic Disease,41.55,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support",19.79,B.2.3 Animal Nutritional Status,38.87,B.2.4 Animal Biodiversity,46.57,B.3.1 Air Quality and Climate Change,82.25,B.3.2 Land Resources,52.03,B.3.3 Sanitation and Water Resources,11.87,B.3.4 Hazardous Chemicals,51.13,B.3.5 Environmental biodiversity 
58.14,"B.1.1 Reproductive, Maternal, New-born and Child Health",82,B.1.2 Infectious Diseases,45.46,B.1.3 Non-communicable Diseases and Mental Health,47.76,B.1.4 Injuries and Violence,52.39,B.1.5 Universal Health Coverage and Health Systems,42.13,B.1.6 Health Risk,86.42,B.2.1 Animal Epidemic Disease,17.71,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support",25.12,B.2.3 Animal Nutritional Status,46.16,B.2.4 Animal Biodiversity,43.4,B.3.1 Air Quality and Climate Change,57.13,B.3.2 Land Resources,58.54,B.3.3 Sanitation and Water Resources,44.91,B.3.4 Hazardous Chemicals,53.43,B.3.5 Environmental biodiversity 
42.35,"B.1.1 Reproductive, Maternal, New-born and Child Health",83.03,B.1.2 Infectious Diseases,68.72,B.1.3 Non-communicable Diseases and Mental Health,35.29,B.1.4 Injuries and Violence,52.39,B.1.5 Universal Health Coverage and Health Systems,35.69,B.1.6 Health Risk,92.88,B.2.1 Animal Epidemic Disease,29.6,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support",22.85,B.2.3 Animal Nutritional Status,15.96,B.2.4 Animal Biodiversity,44.24,B.3.1 Air Quality and Climate Change,75.91,B.3.2 Land Resources,51.4,B.3.3 Sanitation and Water Resources,46.8,B.3.4 Hazardous Chemicals,54.4,B.3.5 Environmental biodiversity 
48.02,"B.1.1 Reproductive, Maternal, New-born and Child Health",68.09,B.1.2 Infectious Diseases,38.63,B.1.3 Non-communicable Diseases and Mental Health,39.82,B.1.4 Injuries and Violence,52.08,B.1.5 Universal Health Coverage and Health Systems,47,B.1.6 Health Risk,86.93,B.2.1 Animal Epidemic Disease,24.2,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support",77.77,B.2.3 Animal Nutritional Status,28.95,B.2.4 Animal Biodiversity,58.18,B.3.1 Air Quality and Climate Change,49.88,B.3.2 Land Resources,57.04,B.3.3 Sanitation and Water Resources,40.08,B.3.4 Hazardous Chemicals,48.17,B.3.5 Environmental biodiversity
55.29,"B.1.1 Reproductive, Maternal, New-born and Child Health",73.76,B.1.2 Infectious Diseases,43.57,B.1.3 Non-communicable Diseases and Mental Health,38.65,B.1.4 Injuries and Violence,56.05,B.1.5 Universal Health Coverage and Health Systems,48.84,B.1.6 Health Risk,82.37,B.2.1 Animal Epidemic Disease,32.32,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support",38.05,B.2.3 Animal Nutritional Status,37.2,B.2.4 Animal Biodiversity,43.59,B.3.1 Air Quality and Climate Change,64.23,B.3.2 Land Resources,61.65,B.3.3 Sanitation and Water Resources,30.42,B.3.4 Hazardous Chemicals,53.13,B.3.5 Environmental biodiversity
81.28,"B.1.1 Reproductive, Maternal, New-born and Child Health",89.51,B.1.2 Infectious Diseases,40.84,B.1.3 Non-communicable Diseases and Mental Health,62.06,B.1.4 Injuries and Violence,72.4,B.1.5 Universal Health Coverage and Health Systems,19.45,B.1.6 Health Risk,83.19,B.2.1 Animal Epidemic Disease,30.67,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support",71.2,B.2.3 Animal Nutritional Status,49.57,B.2.4 Animal Biodiversity,67.88,B.3.1 Air Quality and Climate Change,41.91,B.3.2 Land Resources,61.1,B.3.3 Sanitation and Water Resources,73.23,B.3.4 Hazardous Chemicals,67.03,B.3.5 Environmental biodiversity
86.12,"B.1.1 Reproductive, Maternal, New-born and Child Health",79.76,B.1.2 Infectious Diseases,26.95,B.1.3 Non-communicable Diseases and Mental Health,60.9,B.1.4 Injuries and Violence,60.36,B.1.5 Universal Health Coverage and Health Systems,19.21,B.1.6 Health Risk,88.4,B.2.1 Animal Epidemic Disease,24.04,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support",74.92,B.2.3 Animal Nutritional Status,50.2,B.2.4 Animal Biodiversity,57.96,B.3.1 Air Quality and Climate Change,58.12,B.3.2 Land Resources,57.69,B.3.3 Sanitation and Water Resources,72.98,B.3.4 Hazardous Chemicals,67.7,B.3.5 Environmental biodiversity
40.92,"B.1.1 Reproductive, Maternal, New-born and Child Health",75.23,B.1.2 Infectious Diseases,49.16,B.1.3 Non-communicable Diseases and Mental Health,44.69,B.1.4 Injuries and Violence,40.63,B.1.5 Universal Health Coverage and Health Systems,54.68,B.1.6 Health Risk,94.66,B.2.1 Animal Epidemic Disease,17.44,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support",30.57,B.2.3 Animal Nutritional Status,58.95,B.2.4 Animal Biodiversity,38.91,B.3.1 Air Quality and Climate Change,80.42,B.3.2 Land Resources,49.11,B.3.3 Sanitation and Water Resources,46.47,B.3.4 Hazardous Chemicals,50.7,B.3.5 Environmental biodiversity
70.28,"B.1.1 Reproductive, Maternal, New-born and Child Health",65.98,B.1.2 Infectious Diseases,66.66,B.1.3 Non-communicable Diseases and Mental Health,60.27,B.1.4 Injuries and Violence,55.55,B.1.5 Universal Health Coverage and Health Systems,46.71,B.1.6 Health Risk,94.79,B.2.1 Animal Epidemic Disease,37.93,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support",47.75,B.2.3 Animal Nutritional Status,58.61,B.2.4 Animal Biodiversity,18.43,B.3.1 Air Quality and Climate Change,59.1,B.3.2 Land Resources,59.87,B.3.3 Sanitation and Water Resources,60.43,B.3.4 Hazardous Chemicals,50.99,B.3.5 Environmental biodiversity
23.29,"B.1.1 Reproductive, Maternal, New-born and Child Health",54.07,B.1.2 Infectious Diseases,60.9,B.1.3 Non-communicable Diseases and Mental Health,44.64,B.1.4 Injuries and Violence,47.77,B.1.5 Universal Health Coverage and Health Systems,82.99,B.1.6 Health Risk,92.85,B.2.1 Animal Epidemic Disease,51.33,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support",3.91,B.2.3 Animal Nutritional Status,51.06,B.2.4 Animal Biodiversity,43.67,B.3.1 Air Quality and Climate Change,47.44,B.3.2 Land Resources,66.37,B.3.3 Sanitation and Water Resources,10.26,B.3.4 Hazardous Chemicals,47.37,B.3.5 Environmental biodiversity
