iso,code,country,B.3.3.1_raw_2012,B.3.3.1_raw_2017
CPV,132,Cabo Verde,8.433333333,8.433333333
CRI,188,Costa Rica,2.069911504,2.826548673
CUB,192,Cuba,17.43279993,18.25288562
CUW,531,Curacao,#N/A,#N/A
CYM,136,Cayman Islands,#N/A,#N/A
CYP,196,Cyprus,32.73076923,27.69230769
CZE,203,Czech Republic,13.99543726,12.39543726
DEU,276,Germany,26.05669782,22.84392523
DJI,262,Djibouti,6.333333333,6.333333333
DMA,212,Dominica,10,10
DNK,208,Denmark,12.14166667,12.35166667
DOM,214,Dominican Republic,33.72238298,38.6293617
DZA,12,Algeria,69.33333333,87.12888889
ECU,218,Ecuador,2.24136528,2.24136528
EGY,818,Egypt,6370,6420
ERI,232,Eritrea,20.78571429,20.78571429
ESH,732,Western Sahara,NA,NA
ESP,724,Spain,33.04856115,28.07913669
EST,233,Estonia,12.83241542,14.03619197
ETH,231,Ethiopia,7.845089419,8.645983607
FIN,246,Finland,6.13271028,6.13271028
FJI,242,Fiji,0.29737303,0.29737303
FLK,238,Falkland Islands,NA,NA
FRA,250,France,14.0315,13.218
FRO,234,Faeroe Islands,#N/A,#N/A
FSM,583,Micronesia,#N/A,#N/A
GAB,266,Gabon,0.084817073,0.084817073
GBR,826,United Kingdom,5.528965517,5.806206897
GEO,268,Georgia,3.136074316,3.136074316
GGY,831,Guernsey,NA,NA
GHA,288,Ghana,4.341584158,4.780858086
GIN,324,Guinea,0.253982301,0.253982301
GMB,270,Gambia,3.386666667,3.386666667
GNB,624,Guinea-Bissau,1.09375,1.09375
GNQ,226,Equatorial Guinea,0.076153846,0.076153846
GRC,300,Greece,17.12931034,19.37931034
GRD,308,Grenada,#N/A,#N/A
GRL,304,Greenland,#N/A,#N/A
GTM,320,Guatemala,3.044047619,3.044047619
GUY,328,Guyana,0.599460581,0.599460581
HKG,344,Hong Kong,#N/A,#N/A
HND,340,Honduras,1.772556806,1.772556806
HRV,191,Croatia,1.75331565,1.784880637
HTI,332,Haiti,11.14527287,11.14527287
HUN,348,Hungary,84.18333333,74.98333333
IDN,360,Indonesia,9.672795939,11.02699356
IMN,833,Isle of Man,#N/A,#N/A
IND,356,India,44.77869986,44.77869986
IRL,372,Ireland,1.544897959,1.544897959
IRN,364,Iran,72.33463035,72.33463035
IRQ,368,Iraq,124.1418831,109.4829545
ISL,352,Iceland,0.172941176,0.170588235
ISR,376,Israel,168.32,159.7333333
ITA,380,Italy,18.62162698,18.65517808
JAM,388,Jamaica,13.77739636,12.47689464
JEY,832,Jersey,NA,NA
JOR,400,Jordan,124.4868035,132.4926686
JPN,392,Japan,18.88883721,18.88883721
KAZ,398,Kazakhstan,33.24009324,34.88733489
KEN,404,Kenya,15.54975845,19.47826087
KGZ,417,Kyrgyzstan,15.75107296,15.75107296
KHM,116,Cambodia,1.810945274,1.810945274
KIR,296,Kiribati,#N/A,#N/A
KNA,659,Saint Kitts and Nevis,50.83333333,50.83333333
KOR,410,South Korea,45.02235929,45.02235929
KWT,414,Kuwait,#N/A,#N/A
LAO,418,Laos,3.5,3.844537815
LBN,422,Lebanon,33.275,37.75
LBR,430,Liberia,0.07295,0.07295
LBY,434,Libya,817.1428571,817.1428571
LCA,662,Saint Lucia,14.3,14.3
LIE,438,Liechtenstein,#N/A,#N/A
LKA,144,Sri Lanka,24.51893939,24.51893939
LSO,426,Lesotho,0.837476099,0.837476099
LTU,440,Lithuania,3.472186287,1.675291074
LUX,442,Luxembourg,4.46,4.56
LVA,428,Latvia,1.465171192,1.069067296
MAC,446,Macao,#N/A,#N/A
MAR,504,Morocco,36.45862069,36.45862069
MCO,492,Monaco,#N/A,#N/A
MDA,498,Moldova,52.4691358,51.85185185
MDG,450,Madagascar,4.022818991,4.022818991
MDV,462,Maldives,15.66666667,15.66666667
MEX,484,Mexico,20.22738386,21.47677262
MHL,584,Marshall Islands,#N/A,#N/A
MKD,807,North Macedonia,11.71851852,19.33333333
MLI,466,Mali,8.643333333,8.643333333
MLT,470,Malta,79.40594059,85.14851485
MMR,104,Myanmar,3.313160518,3.313160518
MNE,499,Montenegro,#N/A,#N/A
MNG,496,Mongolia,1.408908046,1.328735632
MOZ,508,Mozambique,1.354093434,1.468594217
MRT,478,Mauritania,337.05,337.05
MUS,480,Mauritius,21.15594329,22.173755
MWI,454,Malawi,8.406443618,8.406443618
MYS,458,Malaysia,1.053248639,1.15637931
NAM,516,Namibia,4.576298701,4.576298701
NCL,540,New Caledonia,#N/A,#N/A
NER,562,Niger,39.83396825,49.92
NGA,566,Nigeria,5.643438914,5.643438914
NIC,558,Nicaragua,0.988028169,0.988028169
NIU,570,Niue,NA,NA
NLD,528,Netherlands,97.45454545,72.62181818
NOR,578,Norway,0.71513089,0.70447644
NPL,524,Nepal,4.791675076,4.791675076
NRU,520,Nauru,#N/A,#N/A
NZL,554,New Zealand,2.305198777,3.019877676
OMN,512,Oman,113.5142857,116.7142857
PAK,586,Pakistan,341.6,363.6363636
PAN,591,Panama,0.845924841,0.88682284
PER,604,Peru,0.904160204,0.981690305
PHL,608,Philippines,17.58830898,19.36325678
PLW,585,Palau,#N/A,#N/A
PNG,598,Papua New Guinea,0.048951311,0.048951311
POL,616,Poland,21.39925373,18.80597015
PRK,408,North Korea,12.92208955,12.92208955
PRT,620,Portugal,24.06842105,24.06842105
PRY,600,Paraguay,2.062393162,2.062393162
PSE,275,State of Palestine,#N/A,#N/A
PYF,258,French Polynesia,#N/A,#N/A
QAT,634,Qatar,439.375,447.8571429
ROU,642,Romania,15.29495045,15.98159509
RUS,643,Russia,1.484230056,1.493738404
RWA,646,Rwanda,1.935789474,1.935789474
SAU,682,Saudi Arabia,900.1041667,883.3333333
SDN,729,Sudan,673.375,673.375
SEN,686,Senegal,8.608333333,8.608333333
SGP,702,Singapore,160.0334167,82.01666667
SLB,90,Solomon Islands,#N/A,#N/A
SLE,694,Sierra Leone,0.132625,0.132625
SLV,222,El Salvador,13.55086372,13.55086372
SMR,674,San Marino,#N/A,#N/A
SOM,706,Somalia,54.96666667,54.96666667
SRB,688,Serbia,52.37302248,63.95860592
SSD,728,South Sudan,2.530769231,2.530769231
STP,678,Sao Tome and Principe,1.605704028,1.876146789
SUR,740,Suriname,0.622121212,0.622121212
SVK,703,Slovakia,5.28015873,4.415079365
SVN,705,Slovenia,4.970540975,4.988752009
SWE,752,Sweden,1.499064327,1.388888889
SWZ,748,Eswatini,40.45454545,40.45454545
SXM,534,Sint Maarten,#N/A,#N/A
SYC,690,Seychelles,#N/A,#N/A
SYR,760,Syria,195.7992148,195.7992148
TCA,796,Turks and Caicos Islands,#N/A,#N/A
TCD,148,Chad,5.864,5.864
TGO,768,Togo,1.939130435,1.939130435
THA,764,Thailand,25.52650334,25.52650334
TJK,762,Tajikistan,16.82655741,16.41947684
TKM,795,Turkmenistan,1983.274021,1983.274021
TLS,626,Timor-Leste,14.26658551,14.26658551
TON,776,Tonga,#N/A,#N/A
TTO,780,Trinidad and Tobago,8.755208333,8.755208333
TUN,788,Tunisia,82.84862932,113.659118
TUR,792,Turkey,22.25110132,26.43612335
TUV,798,Tuvalu,#N/A,#N/A
TWN,158,Taiwan,NA,NA
TZA,834,Tanzania,6.171428571,6.171428571
UGA,800,Uganda,1.633333333,1.633333333
UKR,804,Ukraine,23.36569873,15.67150635
URY,858,Uruguay,3.969631236,3.969631236
USA,840,United States of America,15.22492707,15.7699117
UZB,860,Uzbekistan,307.0447436,360.4651163
VAT,336,Holy See,NA,NA
VCT,670,Saint Vincent and the Grenadines,8.1,7.9
VEN,862,Venezuela,2.810074534,2.810074534
VGB,92,British Virgin Islands,#N/A,#N/A
VNM,704,Viet Nam,22.77740679,22.77740679
VUT,548,Vanuatu,#N/A,#N/A
WLF,876,Wallis and Futuna Islands,NA,NA
WSM,882,Samoa,#N/A,#N/A
XKX,689,Kosovo,#N/A,#N/A
YEM,887,Yemen,169.7619048,169.7619048
ZAF,710,South Africa,30.49931319,43.25892857
ZMB,894,Zambia,1.960099751,1.960099751
ZWE,716,Zimbabwe,28.22695759,27.23491028
