iso,code,country,B.3.3.2_raw_2016,B.3.3.2_raw_2017,B.3.3.2_raw_2018,B.3.3.2_raw_2019,B.3.3.2_raw_2020
BWA,72,Botswana,89.40444271,90.33771316,91.24445539,92.08256589,92.21356307
CAF,140,Central African Republic,41.2766431,40.24881568,39.22754832,38.2122672,37.20240205
CAN,124,Canada,99.22739547,99.22553764,99.22363119,99.22164984,99.22181066
CHE,756,Switzerland,100,100,100,100,100
CHL,152,Chile,99.73718587,99.96544779,99.99999739,99.99999614,99.99999872
CHN,156,China,92.31599823,92.84090791,93.33588436,93.81326727,94.26111059
CIV,384,Cote d'Ivoire,71.04239202,71.00918662,70.97608502,70.9427311,70.90907039
CMR,120,Cameroon,64.33898773,64.69578632,65.04524303,65.38663281,65.72041818
COD,180,Dem. Rep. Congo,43.35584023,43.99783932,44.64476808,45.29617589,45.95212696
COG,178,Republic of Congo,72.18665483,73.21776106,73.40681542,73.59587316,73.78451158
COK,184,Cook Islands,99.95965075,99.96563049,99.97161022,99.97161022,99.97161022
COL,170,Colombia,96.61696481,96.86223667,97.13676529,97.31682988,97.49165711
COM,174,Comoros,80.14885509,80.16751986,80.187987,80.21049781,NA
CPV,132,Cabo Verde,NA,NA,NA,NA,NA
CRI,188,Costa Rica,99.59608945,99.77120345,99.78441783,99.79752731,99.81053693
CUB,192,Cuba,96.09701637,96.32301085,96.54950123,96.77613323,97.00269616
CUW,531,Curacao,NA,NA,NA,NA,NA
CYM,136,Cayman Islands,NA,NA,NA,NA,NA
CYP,196,Cyprus,99.78076077,99.77298326,99.76518389,99.76519248,99.76517318
CZE,203,Czech Republic,99.88016949,99.88026338,99.8803606,99.88047032,99.88059167
DEU,276,Germany,99.99999762,99.99999764,99.99999765,100,100
DJI,262,Djibouti,75.83262734,75.88252067,75.9368505,75.99574579,76.04992021
DMA,212,Dominica,NA,NA,NA,NA,NA
DNK,208,Denmark,99.99999893,100,99.99999788,100,100
DOM,214,Dominican Republic,96.37630273,96.46249889,96.54280852,96.61749289,96.68681192
DZA,12,Algeria,93.62277749,93.83197734,94.03741308,94.23913956,94.43732996
ECU,218,Ecuador,93.76941497,94.31314128,94.66226374,95.01122298,95.35976356
EGY,818,Egypt,99.18797298,99.26951418,99.32633211,99.38324098,99.44017596
ERI,232,Eritrea,NA,NA,NA,NA,NA
ESH,732,Western Sahara,NA,NA,NA,NA,NA
ESP,724,Spain,99.92650345,99.92627834,99.92606067,99.92583814,99.92561261
EST,233,Estonia,99.53615906,99.55436663,99.5725742,99.59078178,99.59078178
ETH,231,Ethiopia,43.60707813,45.12944005,46.63848073,48.13405283,49.61557274
FIN,246,Finland,99.99999556,99.99999557,99.99999668,100,100
FJI,242,Fiji,94.26044941,94.25862256,94.25716533,94.25580388,94.30106524
FLK,238,Falkland Islands,94.92390208,95.02473826,95.12252538,95.217253,95.3089274
FRA,250,France,100,100,100,100,99.9999985
FRO,234,Faeroe Islands,100,100,100,100,100
FSM,583,Micronesia,88.30815668,88.30815668,88.30815668,88.30815668,NA
GAB,266,Gabon,84.20854944,84.54578933,84.87081169,85.18376799,85.3419306
GBR,826,United Kingdom,100,100,100,99.99999711,99.99999856
GEO,268,Georgia,96.44757681,96.96675447,97.09507948,97.22220142,97.3481397
GGY,831,Guernsey,NA,NA,NA,NA,NA
GHA,288,Ghana,81.27978114,82.40394776,83.53055643,84.65946329,85.79099665
GIN,324,Guinea,63.71828612,63.80385578,63.87264074,63.92485202,63.96178874
GMB,270,Gambia,79.55916761,79.90678221,80.25284714,80.59738626,80.94040714
GNB,624,Guinea-Bissau,58.84309091,58.90778556,58.95852593,58.99494945,59.01691221
GNQ,226,Equatorial Guinea,NA,NA,NA,NA,NA
GRC,300,Greece,99.9999977,99.99999769,100,100,100
GRD,308,Grenada,NA,NA,NA,NA,NA
GRL,304,Greenland,100,99.99999831,100,99.99999832,100
GTM,320,Guatemala,92.4944136,92.8526145,93.24001364,93.62464631,94.00642827
GUY,328,Guyana,95.53634959,95.53974768,95.54387996,95.54891932,95.55480685
HKG,344,Hong Kong,100,100,100,100,100
HND,340,Honduras,93.75471605,94.24834967,94.73526399,95.21553108,95.68922113
HRV,191,Croatia,NA,NA,NA,NA,NA
HTI,332,Haiti,65.02301688,65.46682714,65.89944466,66.32098695,66.6953084
HUN,348,Hungary,99.97080712,100,100,100,99.99999747
IDN,360,Indonesia,89.32043532,90.10462418,90.88029952,91.64729028,92.41534961
IMN,833,Isle of Man,99.075,99.075,99.075,99.075,99.075
IND,356,India,88.61740577,89.09243315,89.56293708,90.02869896,90.48952503
IRL,372,Ireland,97.38347989,97.3945446,97.40528536,97.40257341,97.39970651
IRN,364,Iran,96.94934902,97.08809582,97.22317738,97.35464541,97.48263633
IRQ,368,Iraq,95.13617253,96.02130917,96.90240492,97.77878399,98.35990325
ISL,352,Iceland,100,99.99999601,99.99999943,99.99999775,99.99999721
ISR,376,Israel,99.99999925,100,99.99999709,99.99999857,100
ITA,380,Italy,99.91703407,99.91703407,99.91703407,99.91703407,99.91703407
JAM,388,Jamaica,90.56120731,90.70612999,90.85157578,90.99735041,91.0299445
JEY,832,Jersey,NA,NA,NA,NA,NA
JOR,400,Jordan,98.99387975,98.98078064,98.96747344,98.95398581,98.94030296
JPN,392,Japan,98.96183223,99.00085897,99.03988571,99.07891245,99.07891245
KAZ,398,Kazakhstan,95.22050548,95.41465947,95.42023857,95.42702725,95.43497032
KEN,404,Kenya,58.89260448,59.58415166,60.27174819,60.95447666,61.63289158
KGZ,417,Kyrgyzstan,89.04474796,89.60251494,90.1601763,90.71696503,91.69930522
KHM,116,Cambodia,69.08113407,69.68376913,70.25363342,70.79082652,71.21988497
KIR,296,Kiribati,74.69890107,75.53647385,76.36123063,77.17297337,77.97092085
KNA,659,Saint Kitts and Nevis,NA,NA,NA,NA,NA
KOR,410,South Korea,NA,NA,NA,NA,NA
KWT,414,Kuwait,100,100,100,100,100
LAO,418,Laos,79.59784865,81.45199454,83.28588532,85.09982632,85.21974318
LBN,422,Lebanon,91.58075057,91.93717863,92.29360669,92.6,92.6
LBR,430,Liberia,73.15081745,73.72398234,74.28973966,75.16022345,75.26179159
LBY,434,Libya,98.15158471,99.02155425,99.8915238,99.8915238,99.8915238
LCA,662,Saint Lucia,96.00804027,96.44777171,96.8872019,96.88750169,96.88784457
LIE,438,Liechtenstein,100,100,100,100,100
LKA,144,Sri Lanka,90.80674449,91.50516883,92.20617472,92.21602355,92.22757937
LSO,426,Lesotho,70.85738563,71.17515002,71.500762,71.83413493,72.17603927
LTU,440,Lithuania,97.07374572,97.54206815,97.99053454,98.0014748,98.01334724
LUX,442,Luxembourg,99.90687145,99.88960587,99.87330453,99.87670531,99.87993254
LVA,428,Latvia,98.57676426,98.62838771,98.67994007,98.7313614,98.78260115
MAC,446,Macao,100,100,100,100,100
MAR,504,Morocco,85.11293354,86.45921074,87.7897571,89.10411331,90.40234468
MCO,492,Monaco,100,100,100,100,100
MDA,498,Moldova,88.96917224,89.36543725,89.76460943,90.16619002,90.56996224
MDG,450,Madagascar,49.78933803,50.68775606,51.58697984,52.48607297,53.38588491
MDV,462,Maldives,99.11409317,99.41077562,99.49723106,99.52720566,99.5444386
MEX,484,Mexico,98.45286453,98.87578129,99.26913243,99.47726394,99.67956828
MHL,584,Marshall Islands,88.41369959,88.48643943,88.56056406,88.60043819,88.57204698
MKD,807,North Macedonia,NA,NA,NA,NA,NA
MLI,466,Mali,76.04238647,77.67905804,79.30885105,80.93188178,82.54729103
MLT,470,Malta,99.99999869,99.99999695,99.99999913,99.9999987,100
MMR,104,Myanmar,75.56637556,77.57179424,79.60337231,81.66030985,83.71819191
MNE,499,Montenegro,97.6373839,97.88369444,98.50629579,98.68140205,98.85691652
MNG,496,Mongolia,81.72957231,82.65249595,83.58826903,84.53621267,85.49562527
MOZ,508,Mozambique,53.55726711,55.96737766,58.40613698,60.87392755,63.36942563
MRT,478,Mauritania,68.83201748,70.69618674,71.02984883,71.35840144,71.68104923
MUS,480,Mauritius,99.86639665,99.86633136,99.86628593,99.86626038,99.8662547
MWI,454,Malawi,66.94335879,67.72719717,68.50613036,69.27961082,70.04772851
MYS,458,Malaysia,97.06169435,97.07118376,97.08077154,97.09036746,97.09990707
NAM,516,Namibia,82.90021701,83.26394987,83.61552518,84.02217993,84.27003628
NCL,540,New Caledonia,98.37191091,98.60526332,98.83861574,99.07196816,99.30532057
NER,562,Niger,45.8187016,46.13032846,46.41606758,46.6766358,46.91179747
NGA,566,Nigeria,70.54093551,72.30480126,74.07084579,75.83888335,77.60905338
NIC,558,Nicaragua,81.41597396,81.43567692,81.52108535,81.61223828,81.7087538
NIU,570,Niue,97.4573236,97.30850779,97.15969199,97.01087618,97.01087618
NLD,528,Netherlands,100,100,100,99.99999714,99.99999929
NOR,578,Norway,100,100,99.99999657,100,99.9999955
NPL,524,Nepal,88.27710856,88.73820652,89.1916007,89.63710487,90.07454179
NRU,520,Nauru,100,100,100,100,100
NZL,554,New Zealand,100,99.9999974,99.99999614,99.99999745,100
NZL,554,New Zealand,100,99.9999974,99.99999614,99.99999745,100
OMN,512,Oman,90.68742325,91.11489335,91.52309333,91.88826494,92.16802469
PAK,586,Pakistan,89.59636844,89.73605141,89.8748303,90.01254307,90.14896508
PAN,591,Panama,93.23054291,93.55518617,93.87808825,94.16190293,94.37254436
PER,604,Peru,90.86111165,91.43573136,92.00718508,92.57507195,93.13936621
PHL,608,Philippines,92.43642247,92.85503057,93.27349616,93.69155849,94.10903456
PLW,585,Palau,99.64526892,99.65953828,99.65884587,99.65818416,99.6575455
PNG,598,Papua New Guinea,42.25107578,43.01980803,43.79194871,44.56676215,45.34401752
POL,616,Poland,99.42565775,99.62003693,99.81493413,99.96659232,99.96659155
PRK,408,North Korea,NA,NA,NA,NA,NA
PRT,620,Portugal,99.90618169,99.90766257,99.90912281,99.91056976,99.91199367
PRY,600,Paraguay,98.10319856,99.35641976,99.58883562,99.59110869,99.59346633
PSE,275,State of Palestine,96.68600418,96.98922366,97.28942549,97.58650628,97.88039722
PYF,258,French Polynesia,100,100,100,100,100
QAT,634,Qatar,99.62980166,99.56810194,99.56810194,99.56810194,99.56810194
ROU,642,Romania,100,100,100,100,100
RUS,643,Russia,96.61953404,96.71242089,96.8056269,96.89903399,96.99254807
RWA,646,Rwanda,57.92420961,58.73515174,59.55451065,60.38192724,60.41450115
SAU,682,Saudi Arabia,99.70810151,99.86817665,100,100,100
SDN,729,Sudan,60.215884,60.26709096,60.32302546,60.38348683,60.4486756
SEN,686,Senegal,79.86889467,81.1334504,82.39466139,83.65219114,84.90523779
SGP,702,Singapore,100,100,100,100,100
SLB,90,Solomon Islands,68.54479789,67.77595766,67.00625416,67.15380158,67.30102554
SLE,694,Sierra Leone,59.03747608,60.22444018,61.40860038,62.58932917,63.76628562
SLV,222,El Salvador,96.57988846,97.21918296,97.58628003,97.78160367,97.94657541
SMR,674,San Marino,100,100,100,100,100
SOM,706,Somalia,50.27459621,51.83293062,53.3865147,54.93440661,56.47697339
SRB,688,Serbia,93.76723065,94.14837278,94.53003261,94.91236412,95.29552932
SSD,728,South Sudan,41.1868131,41.09732748,40.981506,40.84165679,40.95092717
STP,678,Sao Tome and Principe,77.61750204,78.09764709,78.18506249,78.21445996,78.22645516
SUR,740,Suriname,96.19545677,96.64411157,97.09310684,97.54177433,97.98963167
SVK,703,Slovakia,99.78751691,99.78773411,99.78783283,99.78782099,99.78769858
SVN,705,Slovenia,99.5,99.5,99.5,99.5,99.5
SWE,752,Sweden,99.80376396,99.82585352,99.82620051,99.82653896,99.82686763
SWZ,748,Eswatini,67.58835188,68.62115957,69.65441173,70.68793074,70.75307095
SXM,534,Sint Maarten,NA,NA,NA,NA,NA
SYC,690,Seychelles,96.2508915,96.2508915,96.2508915,96.85174689,NA
SYR,760,Syria,93.66913703,93.8245537,93.89346117,93.90980786,93.92585718
TCA,796,Turks and Caicos Islands,NA,NA,NA,NA,NA
TCD,148,Chad,44.74869976,45.10250956,45.46056009,45.82211121,46.18753479
TGO,768,Togo,64.82759182,66.01351042,67.1947934,68.37135321,68.58372009
THA,764,Thailand,99.44567029,99.76972457,99.84851617,99.96483315,100
TJK,762,Tajikistan,77.62285312,79.01396788,80.41158991,81.81510922,81.85241502
TKM,795,Turkmenistan,98.33812977,98.99758047,99.34508272,99.79292451,100
TLS,626,Timor-Leste,NA,NA,NA,NA,NA
TON,776,Tonga,98.58597331,98.62214445,98.65836339,98.69465425,98.73108083
TTO,780,Trinidad and Tobago,98.51909247,98.87517077,98.87517077,98.87517077,98.87517077
TUN,788,Tunisia,95.44404588,95.99335363,96.51537319,97.03219313,97.54330899
TUR,792,Turkey,96.41432248,96.56908949,96.72060939,96.86896689,97.01426916
TUV,798,Tuvalu,100,100,100,100,100
TWN,158,Taiwan,NA,NA,NA,NA,NA
TZA,834,Tanzania,54.80740809,56.66211454,58.52723439,60.40166847,60.71679759
UGA,800,Uganda,49.41834413,51.00911063,52.61236008,54.22828289,55.85504921
UKR,804,Ukraine,93.72407862,93.7908203,93.85588486,93.86696022,93.92828195
URY,858,Uruguay,99.26624962,99.39806716,99.47859894,99.48723899,99.49575756
USA,840,United States of America,99.53713865,99.62581578,99.71312112,99.79904438,99.88352668
UZB,860,Uzbekistan,97.68127077,97.83345285,97.83094172,97.82937715,97.82878485
VAT,336,Holy See,NA,NA,NA,NA,NA
VCT,670,Saint Vincent and the Grenadines,NA,NA,NA,NA,NA
VEN,862,Venezuela,94.39418015,94.21708529,94.03999043,93.86289557,93.68580071
VGB,92,British Virgin Islands,NA,NA,NA,NA,NA
VNM,704,Viet Nam,94.10246596,94.81407553,95.51497454,96.20509155,96.88435687
VUT,548,Vanuatu,90.66152629,91.25680149,91.20332244,91.21664815,91.23119075
WLF,876,Wallis and Futuna Islands,NA,NA,NA,NA,NA
WSM,882,Samoa,91.54020945,91.73245657,91.83885866,91.83825864,91.83772455
XKX,689,Kosovo,NA,NA,NA,NA,NA
YEM,887,Yemen,56.78561942,57.77759796,58.75449134,59.71657902,60.66356984
ZAF,710,South Africa,92.29629284,92.70702351,93.10863459,93.5012265,93.88505744
ZMB,894,Zambia,62.16720877,62.98903412,63.80411115,64.61192382,65.41238357
ZWE,716,Zimbabwe,64.46896436,63.99662473,63.53877337,63.09495688,62.66645761
