iso,code,country,B.3.1.2_raw_2019
ABW,533,Aruba,NA
AFG,4,Afghanistan,62
AGO,24,Angola,36.4
AIA,660,Anguilla,NA
ALB,8,Albania,29.2
AND,20,Andorra,0.2
ARE,784,United Arab Emirates,0
ARG,32,Argentina,2.7
ARM,51,Armenia,3
ATG,28,Antigua and Barbuda,1.3
AUS,36,Australia,0.4
AUT,40,Austria,0.4
AZE,31,Azerbaijan,7.1
BDI,108,Burundi,98.9
BEL,56,Belgium,0.2
BEN,204,Benin,92.1
BFA,854,Burkina Faso,94.3
BGD,50,Bangladesh,75.9
BGR,100,Bulgaria,19.7
BHR,48,Bahrain,0.7
BHS,44,Bahamas,2
BIH,70,Bosnia and Herzegovina,38
BLM,652,Saint Barthelemy,NA
BLR,112,Belarus,0.8
BLZ,84,Belize,12.9
BMU,60,Bermuda,4.6
BOL,68,Bolivia,20.9
BRA,76,Brazil,8.7
BRB,52,Barbados,0.1
BRN,96,Brunei Darussalam,1.1
BTN,64,Bhutan,36.6
BWA,72,Botswana,39.2
CAF,140,Central African Republic,99.8
CAN,124,Canada,0.1
CHE,756,Switzerland,0.1
CHL,152,Chile,6.1
CHN,156,China,36.1
CIV,384,Cote d'Ivoire,NA
CMR,120,Cameroon,72.5
COD,180,Dem. Rep. Congo,93
COG,178,Republic of Congo,NA
COK,184,Cook Islands,NA
COL,170,Colombia,9.4
COM,174,Comoros,78.7
CPV,132,Cabo Verde,19.1
CRI,188,Costa Rica,6.1
CUB,192,Cuba,1.7
CUW,531,Curacao,NA
CYM,136,Cayman Islands,NA
CYP,196,Cyprus,0.2
CZE,203,Czech Republic,1.6
DEU,276,Germany,0.1
DJI,262,Djibouti,15.7
DMA,212,Dominica,9.2
DNK,208,Denmark,0.2
DOM,214,Dominican Republic,8.3
DZA,12,Algeria,0.3
ECU,218,Ecuador,6
EGY,818,Egypt,0.1
ERI,232,Eritrea,67.9
ESH,732,Western Sahara,NA
ESP,724,Spain,1
EST,233,Estonia,10.3
ETH,231,Ethiopia,96.3
