iso,code,country,B.3.1.5,B.3.2.2,B.3.2.3,B.3.2.4,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.5.1,B.3.5.2,B.3.5.3
BOL,68,Bolivia,26.3,28.2,47.6,43.6,28.4,38.1,14.6,3.5,50.5,75,65.8
BRA,76,Brazil,43.6,24.6,65.5,49.6,42.3,65.4,42.5,49.3,51.8,45.4,63.1
BRB,52,Barbados,45.7,39.5,21.9,9.6,96.5,29.2,77.3,1.1,50.4,NA,39.2
BRN,96,Brunei Darussalam,0,34.4,NA,NA,75.8,9.5,74,6,12.7,NA,58.8
BTN,64,Bhutan,61.1,56.4,88.1,100,18.6,31.7,4.7,0,50.7,96.6,52.3
BWA,72,Botswana,30.5,68.9,49.5,34,20.8,95.8,44.2,1,70.7,96,72.5
CAF,140,Central African Republic,44.7,48.6,95.9,42.7,2.8,55.7,47.9,0,34.1,98.5,65.5
CAN,124,Canada,2.7,26.7,60.2,61.7,100,100,100,67.4,28.8,81.2,82.4
CHE,756,Switzerland,41.5,46.1,65.6,31.6,100,100,100,96.7,69.6,85.8,52.9
CHL,152,Chile,39.2,25.2,55.7,41.9,59.5,50.5,18.7,71.9,31.9,88.3,68.4
CHN,156,China,27.7,32.6,56.1,43.7,33,75.8,41.5,9.4,20.2,72.2,57.6
CIV,384,Cote d'Ivoire,91.7,11.8,46.3,55.2,10.6,40.4,23.3,0.6,45.1,32.3,49.6
CMR,120,Cameroon,80.7,30.3,47.8,35.8,14.7,39.1,40.4,0,27.4,85.3,63.1
COD,180,Dem. Rep. Congo,100,25.2,49.2,51.5,9.8,45.4,50.2,0,27.7,78,74
COD,180,Dem. Rep. Congo,100,25.2,49.2,51.5,9.8,45.4,50.2,0,27.7,78,74
COG,178,Republic of Congo,68.8,36.2,28.3,36.2,18.7,0,0,0.3,27.6,93.3,73.3
COK,184,Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,170,Colombia,57.2,33.3,62,66.6,46,58.5,46.4,25.6,52.2,68.9,56.4
COM,174,Comoros,100,32.1,100,NA,11.5,47.4,41.6,0.1,14.1,NA,35.6
CPV,132,Cabo Verde,77.3,NA,87.4,100,30.3,44.7,25.6,20.9,2.1,NA,45.2
CRI,188,Costa Rica,63.3,34.3,58.3,33.9,54,55.1,12.1,9.7,56.2,72.8,43.4
CUB,192,Cuba,48.4,21.3,65.5,55.2,63.1,62.5,89.6,3.6,33.5,95.7,50.1
CUW,531,Curacao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,136,Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,196,Cyprus,31.2,37.7,54.9,38.8,97.7,100,83.1,50,14.6,NA,36.4
CZE,203,Czech Republic,20.4,24,75.6,26.8,74.5,100,100,60.8,49.4,87,48.9
DEU,276,Germany,23.2,38.2,65.4,40.2,100,91.9,100,97,56.4,86.1,45.6
DJI,262,Djibouti,74.8,NA,47.8,100,25,70,41,0,7.6,90.9,64.3
DMA,212,Dominica,63.5,0,100,NA,45.7,42.3,52.3,1,75.2,NA,44.3
DNK,208,Denmark,31.8,26.2,72.7,60.6,100,100,100,100,34.9,93.4,44.5
DOM,214,Dominican Republic,59.1,23.7,63.4,43,37.8,85.7,72.9,5.8,39.6,64.6,44.1
DZA,12,Algeria,44.6,17.3,69.2,100,78.9,100,23.5,33.1,7.1,80.7,75.4
ECU,218,Ecuador,55.9,38.6,36.2,34.4,50,25.2,31.6,0,47.4,74.3,48.9
EGY,818,Egypt,60.4,61.1,100,50.6,85,54.3,58.4,42,10.6,97,77.1
ERI,232,Eritrea,95,100,42.9,100,10.3,64.2,49.9,0,10.7,97.3,59.6
ESH,732,Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,724,Spain,35.5,21.9,56.9,35.5,81.3,100,100,91.5,46.7,90.1,40.8
EST,233,Estonia,5.7,17.1,63.1,77.7,60.2,100,93.3,69.6,31.3,78.2,60.5
ETH,231,Ethiopia,83.5,40.5,53,60.3,10.5,26.1,21.2,0,26.1,95.5,56.7
FIN,246,Finland,18.7,18.4,49,35,100,100,86.2,100,26.4,61.6,75.8
FJI,242,Fiji,61.2,38.1,NA,NA,22.6,100,6.5,3.9,6.1,88.6,72.1
FLK,238,Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRA,250,France,36.7,33.6,70.6,45,100,100,100,88,50.2,88.6,43.8
FRO,234,Faeroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,583,Micronesia,72,100,NA,NA,17.4,92.5,25,0.1,3,NA,51.7
GAB,266,Gabon,49.3,44.7,42.8,45.2,42.2,91,89.4,0,30.7,96.6,71.5
GBR,826,United Kingdom,35.1,24,72.8,60.6,100,100,100,98.5,50.7,92.1,44.7
GEO,268,Georgia,59.5,81.5,51.6,41.6,29.3,0,1.8,46.6,28.8,95.4,47.4
GGY,831,Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHA,288,Ghana,89.9,13.7,43.8,17,17.8,45.1,17.8,0,38.8,84.5,48.4
GIN,324,Guinea,72.7,9.4,9.4,50.4,6.1,18.3,41.6,0,18.3,83.1,50.5
GMB,270,Gambia,93.8,40.7,33.7,55.6,10.5,55.9,51.8,0.1,30.1,90.1,47.5
GNB,624,Guinea-Bissau,85.1,16,54.6,100,6.4,63.7,48.5,0,28.7,69.4,51.3
GNQ,226,Equatorial Guinea,24.7,30.7,100,21.3,32.8,77.8,74.9,1.2,35.7,82.1,63.1
GRC,300,Greece,27.4,42.8,62.9,44.1,84,85.8,72.1,81.7,32.1,89.7,37.2
GRD,308,Grenada,63.4,40.2,49.5,100,54.2,35.9,44.1,0.9,67.1,NA,42.9
GRL,304,Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,320,Guatemala,76.9,18,39.6,26.7,21.7,69.6,20.1,6.8,53.4,0,49.4
GUY,328,Guyana,42.7,50.6,85.8,49.7,39.1,23.4,33.8,0,78.2,94.5,69.2
HKG,344,Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,340,Honduras,74.8,16.9,58.5,61.4,19.4,65.4,56.4,3.1,52.4,24.2,49.3
HRV,191,Croatia,38.9,39,49.3,55.6,58.3,100,81.7,51.7,44.5,88.9,42.6
HTI,332,Haiti,86.4,22.8,67.9,46.4,7.8,36.9,10.6,0,30.9,44.1,41
HUN,348,Hungary,35.8,24.7,76.1,43.4,43.7,93.8,100,53.8,30.8,88.5,37.1
IDN,360,Indonesia,58.5,19,43.8,NA,23.3,68.3,12.6,0,20.2,46.8,66.2
IMN,833,Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,356,India,66.5,31.8,47.8,55,18.6,42.4,31.8,2.2,8.7,85.9,46.3
IRL,372,Ireland,13.3,22.5,71.2,72.6,100,100,100,89.7,43.7,96.9,45
IRN,364,Iran,21.8,93.2,52.1,45.4,82.8,99.6,62,3.7,8.5,95.8,62.8
IRQ,368,Iraq,37,96.3,49.4,54.9,75.7,7.2,21.1,19.5,2.7,98.1,69.5
ISL,352,Iceland,8.4,NA,100,100,100,11.6,77.3,15.6,47.8,100,81.3
ISR,376,Israel,26.7,37,45.3,100,100,95.7,100,81.7,12.2,76.8,51
ITA,380,Italy,36.6,35.8,71.7,41.9,90.4,87.8,75,58.8,41.1,89.1,39.4
JAM,388,Jamaica,59.3,34.4,49.2,35.9,42.7,76.2,80.9,3,39.3,53.5,42.8
JEY,832,Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOR,400,Jordan,68.7,79.6,46,100,100,37.9,100,18.6,10.9,92.1,68
JPN,392,Japan,23,42.9,19.6,41,100,56.4,99,75.3,28.3,68.6,56.9
KAZ,398,Kazakhstan,2.1,69.5,49.9,67.7,40.7,100,50.4,28.6,4.4,97.2,64.8
KEN,404,Kenya,84.3,27.8,53.2,68.9,13.9,42.1,31.5,0.5,26.2,85.3,56.5
KGZ,417,Kyrgyzstan,68.1,93.6,47.1,NA,26.8,36.1,0,0.2,20.6,93.4,58.7
KHM,116,Cambodia,73.8,13.8,51,80.8,11.2,41.4,49.4,0,31,26.4,49.1
KIR,296,Kiribati,95.4,NA,NA,NA,6.5,80.1,19.8,0,0,NA,57
KNA,659,Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,410,South Korea,15.9,32.8,11.3,42.1,100,100,100,76.8,16,78.6,54.2
KWT,414,Kuwait,0,NA,NA,48.4,98.7,91.1,72.2,43.1,9.2,91.6,70.2
LAO,418,Laos,77.3,13.6,43,44.6,9.4,40.3,2.4,0,29.6,6.4,57.6
LBN,422,Lebanon,63.9,33.1,100,NA,80.3,63.1,71.1,38.2,13.5,84.6,34.2
LBR,430,Liberia,100,11.2,36.9,53.4,11.4,48.9,16.6,0,17.2,42,57.2
LBY,434,Libya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCA,662,Saint Lucia,60.5,47.9,NA,100,53.7,36.9,36.5,0.9,66.6,NA,46.8
LIE,438,Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKA,144,Sri Lanka,80.2,34.1,40.7,100,27.3,64.5,41.8,0,41.6,72.8,46.1
LSO,426,Lesotho,70.5,44,54,100,10,43.3,44.7,0.3,10.6,94.3,43.5
LTU,440,Lithuania,24.9,21.4,64.4,41.9,64.7,97.3,95.9,51.4,33.7,90.7,53.2
LUX,442,Luxembourg,7.3,30.7,100,NA,100,100,100,98.5,64.6,NA,48.5
LVA,428,Latvia,35.3,18.2,43.2,58.2,55.2,100,89.7,90.7,31.9,75.9,59.4
MAC,446,Macao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,504,Morocco,69.9,35.8,70.3,100,44.6,97,64,5.4,45.8,80.7,51.1
MCO,492,Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,498,Moldova,67.4,39.8,100,100,46.8,52.2,100,9,14.5,80.6,40.2
MDG,450,Madagascar,89.4,9.2,70.2,55.5,7.4,41.6,39.4,0,17.4,0,46.7
MDV,462,Maldives,64.7,77,100,NA,40.6,49.7,3.7,4.3,10.4,NA,31.4
MEX,484,Mexico,39.3,29.8,68,46.9,39.5,65.5,77.2,31.6,21.2,67.7,57.1
MHL,584,Marshall Islands,64.5,NA,NA,NA,16.9,100,1.1,0,13,NA,52.9
MKD,807,North Macedonia,44.3,42,70.5,19.9,34.5,100,100,0.9,36.6,76.4,46.5
MLI,466,Mali,73,19.3,58.1,63.7,6.8,52,47.7,0,11.4,97,67.9
MLT,470,Malta,35.6,100,100,NA,97.1,100,61.6,0,14.1,NA,30.4
MMR,104,Myanmar,70.6,23.4,55.1,41.2,12.3,51.8,49.6,0,16.7,67.9,54.8
MNE,499,Montenegro,34.2,41.2,44.9,100,34.8,88.1,82.4,8.4,45.1,75.8,48.2
MNG,496,Mongolia,1.1,38.6,71.4,68,22.8,25.5,44.4,3.3,23.5,93.9,67.2
MOZ,508,Mozambique,86.6,22.5,45.2,39.3,7,74.9,33.3,0.2,49,91,56.9
MRT,478,Mauritania,58.6,100,53.6,90.9,19.8,55.1,43.4,0,4.6,94.5,78
MUS,480,Mauritius,52.4,43.9,100,100,63.3,50.9,47.5,2.5,10.9,NA,32.7
MWI,454,Malawi,100,20.2,37.9,54.5,9.3,60.4,45.8,0,41.1,92.8,50.7
MYS,458,Malaysia,23.7,12.7,14.8,NA,70.7,43.3,39,12.4,14.6,0,57.1
NAM,516,Namibia,42.5,52.1,65.3,98.1,20.4,57.1,79.4,6.2,78.9,86.4,72.7
NCL,540,New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,562,Niger,81.9,100,53.1,100,5.4,0,1.9,0,25.6,89.8,73.8
NGA,566,Nigeria,80.9,20.6,38,59.4,11.7,73.6,59,0.2,32.3,83.9,50.4
NIC,558,Nicaragua,65.2,15.7,54.9,64.1,24.1,96.5,64,0,68.4,0,48.9
NIU,570,Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLD,528,Netherlands,17,40.6,82.7,41.5,100,100,100,100,39,78,39.3
NOR,578,Norway,13.3,30.5,56,38,100,100,98.4,64.3,47.7,92.7,71.3
NPL,524,Nepal,85.5,65.8,73.4,100,14.1,39.2,49.5,0,27.5,97.5,47.6
NRU,520,Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,554,New Zealand,5.5,24.9,60,56.6,97.6,100,74.7,79.9,56.5,81.2,57.2
NZL,554,New Zealand,5.5,24.9,60,56.6,97.6,100,74.7,79.9,56.5,81.2,57.2
OMN,512,Oman,2.7,NA,100,34.1,70.8,100,19.9,13.4,3.5,99.4,77.2
PAK,586,Pakistan,73.9,83.7,56.2,54.4,12.9,60.9,56.7,0.1,9.4,85.6,56.2
PAN,591,Panama,56.6,33,45.1,24.2,47.3,72.4,59.9,23.1,44.8,80.3,45.8
PER,604,Peru,59.4,35.6,55.5,43,40.4,69.1,12.9,46.4,56.7,74.7,58.1
PHL,608,Philippines,74.1,28.1,100,NA,19.7,84.8,51.9,0.7,23,42.6,48.5
PLW,585,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNG,598,Papua New Guinea,79,34,38.4,NA,4.8,75.2,41.1,0,13.3,94.6,78.3
POL,616,Poland,20.6,23.9,65.8,45.7,49.7,100,79.3,60.9,48.3,92.5,48.9
PRK,408,North Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRT,620,Portugal,28.1,2,70.5,41.5,85.8,100,87,55,42,72.8,38.6
PRY,600,Paraguay,42.5,16.6,54.8,49.3,30.5,98.3,42.8,0.7,19.9,0,63.4
PSE,275,State of Palestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PYF,258,French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QAT,634,Qatar,0,NA,NA,0,100,93.2,35.6,70,3.1,76.5,76.4
ROU,642,Romania,45.2,38.4,60.5,66.6,44.7,100,100,30.4,34.7,84.9,44.2
RUS,643,Russia,9.2,26.3,55.1,43,63.7,75.7,86.3,18.5,22.5,89.5,79.4
RWA,646,Rwanda,100,26.3,36.7,57.9,11.8,52.8,48.2,0,29.5,94,47.3
SAU,682,Saudi Arabia,0,100,38.5,100,76.2,32.2,37.1,11.8,6,97.5,74.2
SDN,729,Sudan,67.7,61.8,45,39.3,19.7,65.4,64.3,0,9.1,95.1,66.8
SEN,686,Senegal,82.4,22.7,46.4,61.1,12.3,52.9,46.2,0.5,38.9,97,53.1
SGP,702,Singapore,11.9,18.4,NA,NA,100,100,59,100,5,NA,45.1
SLB,90,Solomon Islands,100,25.5,NA,NA,0,78.4,36.6,0,6.2,62.5,76.2
SLE,694,Sierra Leone,99.3,3.8,63.6,58.7,7,49.3,30.9,0,14.8,77.9,48.8
SLV,222,El Salvador,76.8,32.7,42.9,38.6,38.6,100,72.6,0.1,27.9,84.2,44.7
SMR,674,San Marino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOM,706,Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,688,Serbia,23.1,44.5,58.8,56.6,38.7,78.8,99.2,1.7,31.4,86.7,42.8
SSD,728,South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STP,678,Sao Tome and Principe,95.8,100,NA,100,16,56.4,37.9,0.3,29.6,NA,37.2
SUR,740,Suriname,41.6,47.1,100,77.5,39.3,70.1,94.6,0,98,91.9,78.1
SVK,703,Slovakia,30.5,26.3,68.1,100,75.2,100,100,43.7,46.2,86.4,47.3
SVN,705,Slovenia,28.2,31.9,68.8,100,60.6,100,80,89.1,55.8,84,51
SWE,752,Sweden,37,19.8,44.4,47.1,100,100,100,100,33.2,69.8,71.6
SWZ,748,Eswatini,69.7,21,72.6,29.8,15.5,68.6,52.3,5.7,34.8,76.2,45
SXM,534,Sint Maarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYC,690,Seychelles,43.5,83.5,100,NA,72.3,96.1,76.5,1.6,7.5,NA,23.6
SYR,760,Syria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA,796,Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCD,148,Chad,46.5,18.6,52.1,57,5.3,57.6,51.7,0,19.2,91.3,67
TGO,768,Togo,91.4,23.5,40.2,100,10.7,30.4,69.3,0,34.9,92.4,47
THA,764,Thailand,37.7,23.3,38.7,28.3,40.1,100,57.4,2,21.8,69.9,48.2
TJK,762,Tajikistan,86.5,100,52,100,20.5,28.3,31.4,2.2,27.1,93.3,58
TKM,795,Turkmenistan,0,98.1,58,100,83.2,53.8,35.8,9.8,2.7,96.4,67.1
TLS,626,Timor-Leste,67.2,40.7,100,NA,11.5,88.3,41.1,0.3,23.8,99.4,47.6
TON,776,Tonga,69.9,NA,NA,NA,24.3,100,31,0.3,5,NA,59.2
TTO,780,Trinidad and Tobago,0,36.4,31.5,30.3,89.6,100,55.7,3.2,92.2,NA,52.6
TUN,788,Tunisia,61,16,61.8,100,81.1,91,77.3,43,4.1,90.9,58.4
TUR,792,Turkey,38.5,35.6,53.6,47.5,76.2,82.8,85.2,30.4,10.9,87,44.3
TUV,798,Tuvalu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TWN,158,Taiwan,16,51.2,36.6,25.3,61.2,100,100,7.1,21.2,69.8,51.4
TZA,834,Tanzania,81.6,25.7,47,56.9,10.6,58.3,21.9,1.4,67.3,83.7,53.9
UGA,800,Uganda,93.3,20.1,59.2,66.6,11.3,46,42.9,0.4,37.3,86.8,53.8
UKR,804,Ukraine,42.5,25.2,62.7,86.9,51.1,64.9,88.4,14.1,17.5,84.2,43
URY,858,Uruguay,21,16.7,81.6,38,64.6,54.7,18.1,2.1,6.6,72.2,52
USA,840,United States of America,4.5,23.2,59.3,59,98,100,100,58.9,15.8,83.9,58.2
UZB,860,Uzbekistan,43.2,72.2,52.2,56,32.8,68.5,73.2,0,1.7,75.2,65.9
VAT,336,Holy See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCT,670,Saint Vincent and the Grenadines,68.5,57.2,100,0,50,38.6,39.2,0.8,70.2,NA,42.6
VEN,862,Venezuela,30.2,38.4,57.3,62.8,74.9,24.1,58.6,6.4,73,89.1,61.1
VGB,92,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VNM,704,Viet Nam,59,14.1,39.7,35.5,24.9,51.5,40,0.3,25,39.4,50.8
VUT,548,Vanuatu,68.3,47,100,NA,5.9,7.3,25.5,0,10.6,99,70.5
WLF,876,Wallis and Futuna Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WSM,882,Samoa,67.3,NA,NA,NA,14.4,58.5,29.6,0.3,1.5,NA,65.8
XKX,689,Kosovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YEM,887,Yemen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,710,South Africa,22,17.1,58.3,45.8,36.2,68.6,70.7,21.7,24.4,95.1,58.7
ZMB,894,Zambia,70.5,27.6,61.6,63.8,12.5,0,45.1,4.2,68.6,91.8,65.8
ZWE,716,Zimbabwe,73.8,20.8,47.8,39,10.2,48.2,33.7,0,54.1,91.2,58
