iso,code,country,B.2.4.8_raw_2020
ABW,533,Aruba,0
AFG,4,Afghanistan,1
AGO,24,Angola,3
AIA,660,Anguilla,0
ALB,8,Albania,0
AND,20,Andorra,0
ARE,784,United Arab Emirates,0
ARG,32,Argentina,0
ARM,51,Armenia,0
ATG,28,Antigua and Barbuda,0
AUS,36,Australia,7
AUT,40,Austria,0
AZE,31,Azerbaijan,0
BDI,108,Burundi,0
BEL,56,Belgium,0
BEN,204,Benin,0
BFA,854,Burkina Faso,0
BGD,50,Bangladesh,0
BGR,100,Bulgaria,0
BHR,48,Bahrain,0
BHS,44,Bahamas,0
BIH,70,Bosnia and Herzegovina,0
BLM,652,Saint Barthelemy,NA
BLR,112,Belarus,0
BLZ,84,Belize,2
BMU,60,Bermuda,0
BOL,68,Bolivia,1
BRA,76,Brazil,12
BRB,52,Barbados,0
BRN,96,Brunei Darussalam,1
BTN,64,Bhutan,1
BWA,72,Botswana,0
CAF,140,Central African Republic,1
CAN,124,Canada,0
CHE,756,Switzerland,0
CHL,152,Chile,0
CHN,156,China,214
CIV,384,Cote d'Ivoire,0
CMR,120,Cameroon,5
COD,180,Dem. Rep. Congo,12
COG,178,Republic of Congo,0
COK,184,Cook Islands,0
COL,170,Colombia,76
COM,174,Comoros,0
CPV,132,Cabo Verde,0
CRI,188,Costa Rica,9
CUB,192,Cuba,0
CUW,531,Curacao,0
CYM,136,Cayman Islands,2
CYP,196,Cyprus,0
CZE,203,Czech Republic,0
DEU,276,Germany,0
DJI,262,Djibouti,0
DMA,212,Dominica,0
DNK,208,Denmark,0
DOM,214,Dominican Republic,0
DZA,12,Algeria,0
ECU,218,Ecuador,11
EGY,818,Egypt,0
ERI,232,Eritrea,0
ESH,732,Western Sahara,0
ESP,724,Spain,0
EST,233,Estonia,0
ETH,231,Ethiopia,2
FIN,246,Finland,0
FJI,242,Fiji,1
FLK,238,Falkland Islands,0
FRA,250,France,0
FRO,234,Faeroe Islands,0
FSM,583,Micronesia,0
GAB,266,Gabon,0
GBR,826,United Kingdom,0
GEO,268,Georgia,0
GGY,831,Guernsey,0
GHA,288,Ghana,1
GIN,324,Guinea,2
GMB,270,Gambia,0
GNB,624,Guinea-Bissau,0
GNQ,226,Equatorial Guinea,0
GRC,300,Greece,0
GRD,308,Grenada,0
GRL,304,Greenland,0
GTM,320,Guatemala,6
GUY,328,Guyana,2
HKG,344,Hong Kong,4
HND,340,Honduras,1
HRV,191,Croatia,0
HTI,332,Haiti,0
HUN,348,Hungary,0
IDN,360,Indonesia,71
IMN,833,Isle of Man,0
IND,356,India,60
IRL,372,Ireland,0
IRN,364,Iran,3
IRQ,368,Iraq,0
ISL,352,Iceland,0
ISR,376,Israel,0
ITA,380,Italy,0
JAM,388,Jamaica,0
JEY,832,Jersey,0
JOR,400,Jordan,0
JPN,392,Japan,21
KAZ,398,Kazakhstan,0
KEN,404,Kenya,7
KGZ,417,Kyrgyzstan,0
KHM,116,Cambodia,1
KIR,296,Kiribati,0
KNA,659,Saint Kitts and Nevis,0
KOR,410,South Korea,0
KWT,414,Kuwait,0
LAO,418,Laos,13
LBN,422,Lebanon,0
LBR,430,Liberia,3
LBY,434,Libya,0
LCA,662,Saint Lucia,0
LIE,438,Liechtenstein,0
LKA,144,Sri Lanka,50
LSO,426,Lesotho,0
LTU,440,Lithuania,0
LUX,442,Luxembourg,0
LVA,428,Latvia,0
MAC,446,Macao,0
MAR,504,Morocco,0
MCO,492,Monaco,0
MDA,498,Moldova,0
MDG,450,Madagascar,17
MDV,462,Maldives,0
MEX,484,Mexico,54
MHL,584,Marshall Islands,0
MKD,807,North Macedonia,0
MLI,466,Mali,0
MLT,470,Malta,0
MMR,104,Myanmar,24
MNE,499,Montenegro,0
MNG,496,Mongolia,0
MOZ,508,Mozambique,1
MRT,478,Mauritania,0
MUS,480,Mauritius,0
MWI,454,Malawi,1
MYS,458,Malaysia,76
NAM,516,Namibia,0
NCL,540,New Caledonia,0
NER,562,Niger,0
NGA,566,Nigeria,2
NIC,558,Nicaragua,3
NIU,570,Niue,0
NLD,528,Netherlands,0
NOR,578,Norway,0
NPL,524,Nepal,0
NRU,520,Nauru,0
NZL,554,New Zealand,0
OMN,512,Oman,0
PAK,586,Pakistan,1
PAN,591,Panama,9
PER,604,Peru,7
PHL,608,Philippines,41
PLW,585,Palau,0
PNG,598,Papua New Guinea,11
POL,616,Poland,0
PRK,408,North Korea,0
PRT,620,Portugal,0
PRY,600,Paraguay,0
PSE,275,State of Palestine,0
PYF,258,French Polynesia,0
QAT,634,Qatar,0
ROU,642,Romania,0
RUS,643,Russia,0
RWA,646,Rwanda,1
SAU,682,Saudi Arabia,0
SDN,729,Sudan,0
SEN,686,Senegal,2
SGP,702,Singapore,3
